# These Parameters were extracted from Reference Codes by
#   derive_gold_params.py utility script for testing purposes only
#
# LSIS-AFS Appendix C: Gold Code G2 Delays (Tables C-1..C-5)
# Generator polynomials:
#   g1(x) = x^11 + x^2 + 1
#   g2(x) = x^11 + x^8 + x^5 + x^2 + 1
# Code length: 2046 chips (short-cycled from 2047)
# Both LFSRs initialised to all-1s; G2 pre-advanced by delay D_k
prn,g2_delay
1,1845
2,1071
3,170
4,2035
5,1214
6,1292
7,1284
8,1894
9,1537
10,735
11,561
12,1789
13,1453
14,196
15,1040
16,326
17,1787
18,982
19,1030
20,1380
21,1932
22,1188
23,390
24,714
25,303
26,1001
27,707
28,1984
29,139
30,182
31,1891
32,1247
33,1434
34,2000
35,1843
36,865
37,616
38,514
39,449
40,1173
41,24
42,1383
43,1940
44,1594
45,1765
46,752
47,145
48,1615
49,1666
50,1372
51,1634
52,1068
53,1181
54,879
55,1153
56,1621
57,927
58,1848
59,402
60,413
61,1090
62,657
63,609
64,1547
65,370
66,271
67,1353
68,635
69,299
70,697
71,152
72,678
73,1329
74,15
75,1974
76,1884
77,1868
78,277
79,302
80,9
81,603
82,1583
83,848
84,1234
85,1568
86,510
87,1303
88,1921
89,823
90,1187
91,1299
92,824
93,672
94,2034
95,1388
96,13
97,223
98,1840
99,1161
100,1132
101,365
102,2
103,924
104,1373
105,959
106,220
107,1542
108,188
109,264
110,453
111,68
112,715
113,75
114,1095
115,938
116,1316
117,394
118,1156
119,166
120,969
121,269
122,179
123,957
124,400
125,625
126,1513
127,1796
128,100
129,1660
130,1454
131,1613
132,1064
133,844
134,518
135,320
136,661
137,2031
138,694
139,1143
140,1167
141,1885
142,833
143,1601
144,903
145,399
146,1896
147,899
148,133
149,556
150,331
151,198
152,212
153,1024
154,1070
155,1972
156,1573
157,884
158,1177
159,1691
160,533
161,480
162,751
163,447
164,734
165,973
166,857
167,1767
168,1548
169,1876
170,614
171,1017
172,1978
173,275
174,1141
175,1252
176,1952
177,1714
178,1067
179,557
180,522
181,1159
182,545
183,1580
184,610
185,935
186,1134
187,780
188,691
189,1038
190,1418
191,295
192,916
193,1654
194,624
195,706
196,1033
197,1633
198,790
199,1451
200,1300
201,459
202,106
203,861
204,1541
205,114
206,1381
207,1945
208,1069
209,242
210,356
