# These Parameters were extracted from Reference Codes by
#   derive_weil_tertiary_params.py utility script for testing purposes only
#
# LSIS-AFS Appendix E: Weil Tertiary Code Parameters (Tables E-2..E-6)
# Legendre length: 1499 (prime)
# Output code length: 1500 chips (1499 Weil + 1 appended zero)
# W(t;k) = L(t) XOR L((t+k) mod 1499), append 0 at position 1499
prn,weil_index_k
1,1
2,229
3,237
4,241
5,253
6,254
7,255
8,256
9,257
10,267
11,276
12,283
13,301
14,319
15,327
16,328
17,333
18,334
19,335
20,339
21,340
22,346
23,347
24,350
25,354
26,356
27,357
28,361
29,364
30,365
31,366
32,368
33,373
34,378
35,381
36,382
37,383
38,384
39,386
40,387
41,389
42,390
43,394
44,397
45,398
46,400
47,401
48,407
49,408
50,414
51,415
52,416
53,426
54,431
55,432
56,433
57,436
58,437
59,438
60,439
61,440
62,441
63,447
64,448
65,449
66,450
67,451
68,459
69,460
70,461
71,463
72,467
73,468
74,469
75,471
76,474
77,475
78,477
79,480
80,481
81,485
82,487
83,488
84,489
85,490
86,491
87,492
88,495
89,496
90,498
91,500
92,502
93,507
94,509
95,510
96,513
97,515
98,517
99,520
100,521
101,524
102,525
103,526
104,527
105,528
106,529
107,531
108,533
109,538
110,540
111,542
112,543
113,544
114,549
115,551
116,552
117,553
118,554
119,555
120,556
121,557
122,562
123,568
124,570
125,573
126,574
127,575
128,576
129,577
130,578
131,579
132,580
133,582
134,586
135,591
136,592
137,594
138,595
139,596
140,597
141,598
142,599
143,601
144,604
145,605
146,606
147,607
148,608
149,609
150,610
151,612
152,616
153,617
154,618
155,619
156,621
157,622
158,627
159,628
160,631
161,633
162,635
163,638
164,639
165,640
166,645
167,647
168,648
169,649
170,650
171,651
172,654
173,656
174,658
175,660
176,661
177,662
178,665
179,668
180,669
181,671
182,674
183,675
184,676
185,678
186,680
187,682
188,683
189,684
190,686
191,687
192,688
193,689
194,690
195,691
196,697
197,698
198,702
199,705
200,707
201,710
202,716
203,717
204,718
205,720
206,722
207,723
208,725
209,726
210,729
